case_name,geom_name,split,alt_kft,Re,M_inf,alpha_deg,beta_deg,CL,CD,CMy,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3
case_0012,geom_001,train,1.648,33480000.0,0.1867,1.683,0.0,0.102146932854,0.005218934037,-0.08616263214,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87
case_0013,geom_001,train,22.8,34860000.0,0.4444,-5.451,0.0,-0.298478453783,0.012052564622,0.247452016204,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87
case_0014,geom_001,train,33.51,1585000.0,0.2818,15.55,0.0,0.86168934914,0.071314635165,-0.716490433449,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87
case_0015,geom_001,train,19.31,60110000.0,0.4836,7.233,0.0,0.431022839344,0.019712949641,-0.36209968822,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87
case_0016,geom_001,train,25.09,29240000.0,0.3547,-3.94,0.0,-0.207355293399,0.008197728277,0.171290379863,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87
case_0017,geom_001,train,7.511,3332000.0,0.08578,13.46,0.0,0.732571384549,0.052604331463,-0.608946228596,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87
case_0018,geom_001,train,37.76,6826000.0,0.2403,8.996,0.0,0.501872221066,0.026901452019,-0.419169742384,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87
case_0019,geom_001,train,9.62,7389000.0,0.1443,19.89,0.0,1.073285983185,0.107592588728,-0.884537600326,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87
case_0020,geom_002,train,14.22,30140000.0,0.3475,-2.055,0.0,-0.090505867178,0.005366088386,0.065852321352,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6
case_0021,geom_002,train,19.33,8752000.0,0.1314,14.09,0.0,0.63285339154,0.05999397746,-0.466615664401,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6
case_0022,geom_002,train,35.16,16760000.0,0.2149,13.87,0.0,0.627511709598,0.058614799961,-0.463045160115,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6
case_0023,geom_002,train,27.72,1032000.0,0.4568,3.477,0.0,0.167158317474,0.010277891582,-0.124039169286,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6
case_0024,geom_002,train,7.507,9275000.0,0.4102,7.197,0.0,0.338155150083,0.020285955338,-0.250012406765,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6
case_0025,geom_002,train,31.32,28910000.0,0.3867,1.969,0.0,0.0947465174,0.005455311355,-0.070350464771,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6
case_0026,geom_002,train,36.58,4453000.0,0.2849,-4.175,0.0,-0.185391670714,0.010067866148,0.135398578247,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6
case_0027,geom_002,train,20.08,14680000.0,0.1805,9.636,0.0,0.436141727537,0.030486377788,-0.321280397085,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6
case_0028,geom_002,train,10.63,6056000.0,0.09314,-9.906,0.0,-0.435353500518,0.031265604826,0.318116600049,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6
case_0029,geom_002,train,1.415,44200000.0,0.2734,19.57,0.0,0.883943278899,0.113288050883,-0.653376848779,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6
case_0030,geom_003,train,39.56,6824000.0,0.1922,17.04,0.0,0.761853289994,0.09788853472,-0.598823946388,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77
case_0031,geom_003,train,12.29,6045000.0,0.3376,4.272,0.0,0.195242808669,0.012016089964,-0.152112791063,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77
case_0032,geom_003,train,5.577,36640000.0,0.25,16.48,0.0,0.740415372969,0.091502273429,-0.581654987815,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77
case_0033,geom_003,train,26.74,37520000.0,0.3873,0.9686,0.0,0.045666372851,0.005248974947,-0.035771192544,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77
case_0034,geom_003,train,35.43,8413000.0,0.1726,5.984,0.0,0.268838063999,0.017047588868,-0.209118477526,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77
case_0035,geom_003,train,20.08,3380000.0,0.06672,-6.657,0.0,-0.293325772028,0.019986257172,0.227200952523,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77
case_0036,geom_003,train,3.355,4503000.0,0.4559,-9.666,0.0,-0.441800442581,0.036780965002,0.34448027989,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77
case_0037,geom_003,train,19.66,10060000.0,0.2879,9.611,0.0,0.434990658027,0.035104830134,-0.339492713152,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77
case_0038,geom_003,train,31.7,4517000.0,0.1035,-2.679,0.0,-0.11754670316,0.008525607055,0.090788721043,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77
case_0039,geom_003,train,10.37,63230000.0,0.4408,13.43,0.0,0.618933560777,0.064541409411,-0.485979835023,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77
case_0041,geom_004,train,19.77,16380000.0,0.3646,-8.873,0.0,-0.462301599461,0.032124242842,0.360520019644,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08
case_0042,geom_004,train,29.71,7843000.0,0.113,6.72,0.0,0.347130463917,0.020905452203,-0.271210102394,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08
case_0043,geom_004,train,22.37,9417000.0,0.1401,17.96,0.0,0.918217902038,0.112817499552,-0.719836359988,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08
case_0044,geom_004,train,8.023,64000000.0,0.4206,-5.199,0.0,-0.273868264482,0.013984848171,0.213628313277,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08
case_0045,geom_004,train,37.89,4421000.0,0.4075,15.88,0.0,0.839143046923,0.095129030317,-0.661071407629,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08
case_0046,geom_004,train,15.28,3129000.0,0.2683,-0.6172,0.0,-0.029830876119,0.006896063337,0.022703859166,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08
case_0048,geom_004,train,7.593,3763000.0,0.06838,-1.875,0.0,-0.093723381192,0.007717416656,0.07237309125,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08
case_0049,geom_004,train,1.989,20600000.0,0.1946,3.428,0.0,0.179133066263,0.009297430846,-0.140181187021,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08
case_0050,geom_005,train,38.76,1816000.0,0.09455,-2.505,0.0,-0.115177646852,0.008272586113,0.103323161825,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94
case_0051,geom_005,train,11.34,3557000.0,0.4455,0.127,0.0,0.009199115624,0.006001180924,-0.008968980128,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94
case_0052,geom_005,train,21.66,20110000.0,0.3674,11.43,0.0,0.556736826411,0.044890946292,-0.50514685717,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94
case_0053,geom_005,train,2.595,12970000.0,0.1151,17.12,0.0,0.80394305834,0.08990280063,-0.724656233083,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94
case_0054,geom_005,train,13.71,65250000.0,0.4592,-6.228,0.0,-0.304755573733,0.016179839059,0.275946041015,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94
case_0055,geom_005,train,5.686,48850000.0,0.3251,3.484,0.0,0.171125292466,0.008076024331,-0.155523663844,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94
case_0056,geom_005,train,32.07,6560000.0,0.19,10.49,0.0,0.49958854804,0.03775861874,-0.451740402113,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94
case_0057,geom_005,train,26.1,13690000.0,0.1538,7.001,0.0,0.334114382346,0.019384085495,-0.302237277634,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94
case_0058,geom_005,train,29.4,3821000.0,0.3136,16.99,0.0,0.812778580368,0.092619949644,-0.735442772753,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94
case_0059,geom_005,train,19.21,21490000.0,0.2632,-8.32,0.0,-0.392706620289,0.024768561478,0.35358694615,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94
case_0060,geom_006,train,19.05,16050000.0,0.2118,3.337,0.0,0.172168425753,0.008252612023,-0.114998407674,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33
case_0061,geom_006,train,25.54,36430000.0,0.4626,12.51,0.0,0.659901482165,0.05174803787,-0.445361025341,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33
case_0062,geom_006,train,12.0,2555000.0,0.08137,10.43,0.0,0.522251556665,0.036095362462,-0.350157430563,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33
case_0063,geom_006,train,22.46,11350000.0,0.3528,17.97,0.0,0.923190099858,0.100088192853,-0.625717166928,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33
case_0064,geom_006,train,29.08,16710000.0,0.4157,7.94,0.0,0.415352466155,0.023497919739,-0.278466277706,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33
case_0065,geom_006,train,2.73,18690000.0,0.2705,-3.711,0.0,-0.177850832884,0.008471903608,0.116824613693,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33
case_0066,geom_006,train,35.16,8971000.0,0.115,-0.5533,0.0,-0.020340826233,0.005556187886,0.012553179886,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33
case_0067,geom_006,train,12.77,31060000.0,0.2765,-7.357,0.0,-0.359794709402,0.018814824515,0.237687256659,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33
case_0068,geom_006,train,6.836,4040000.0,0.3945,-4.62,0.0,-0.227922921008,0.01171279527,0.150371168234,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33
case_0069,geom_006,train,36.63,11490000.0,0.1731,14.84,0.0,0.746828527085,0.066827633558,-0.503417461665,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33
case_0070,geom_007,train,31.17,33100000.0,0.4209,13.0,0.0,0.587264545512,0.049550835463,-0.469619088071,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69
case_0071,geom_007,train,17.49,36440000.0,0.3327,1.161,0.0,0.055408764818,0.004201857434,-0.044915977071,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69
case_0072,geom_007,train,33.11,17360000.0,0.3154,16.26,0.0,0.714597990773,0.072543419948,-0.568484803186,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69
case_0073,geom_007,train,12.74,29540000.0,0.3984,-1.997,0.0,-0.085913315017,0.004887854372,0.067955406642,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69
case_0074,geom_007,train,10.06,20660000.0,0.2262,10.51,0.0,0.461667616592,0.032197917509,-0.368004376193,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69
case_0075,geom_007,train,7.091,6854000.0,0.2545,3.417,0.0,0.153735614777,0.00775239055,-0.123258647085,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69
case_0076,geom_007,train,26.69,794700.0,0.07718,-8.318,0.0,-0.353137920362,0.02284379225,0.279459152069,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69
case_0077,geom_007,train,21.61,18250000.0,0.4838,-4.59,0.0,-0.206458685605,0.009757385821,0.164597129039,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69
case_0078,geom_007,train,2.756,8637000.0,0.1093,17.12,0.0,0.735278914332,0.077205742977,-0.58269066153,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69
case_0079,geom_007,train,36.72,10830000.0,0.1477,7.975,0.0,0.349428701915,0.020460183439,-0.278705746673,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69
case_0080,geom_008,train,30.24,2256000.0,0.2882,-6.169,0.0,-0.381677125767,0.018269252729,0.325008433593,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75
case_0081,geom_008,train,25.81,3265000.0,0.0724,14.8,0.0,0.926441791477,0.073565325958,-0.791643561119,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75
case_0082,geom_008,train,3.962,23270000.0,0.1338,-1.164,0.0,-0.062721407347,0.00541662375,0.051805262933,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75
case_0083,geom_008,train,33.71,17930000.0,0.3343,12.62,0.0,0.820738318057,0.057212637916,-0.706588231564,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75
case_0084,geom_008,train,21.51,14650000.0,0.4863,10.55,0.0,0.719315288004,0.044641926872,-0.624157863527,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75
case_0085,geom_008,train,16.98,4397000.0,0.2406,-7.83,0.0,-0.483162262769,0.02464043045,0.411224955579,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75
case_0086,geom_008,train,15.32,23360000.0,0.1968,6.505,0.0,0.419387104992,0.018445734236,-0.361548756801,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75
case_0088,geom_008,train,36.71,9528000.0,0.4109,0.9792,0.0,0.075029033999,0.006060914358,-0.06675192941,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75
case_0089,geom_008,train,10.8,22580000.0,0.142,4.07,0.0,0.264804761023,0.010374803217,-0.228952251186,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75
case_0090,geom_009,train,38.88,9526000.0,0.1851,6.595,0.0,0.277149794197,0.016212974124,-0.205512475813,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89
case_0091,geom_009,train,18.53,50290000.0,0.4399,8.181,0.0,0.357922479862,0.023232247936,-0.266376495048,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89
case_0092,geom_009,train,10.09,58630000.0,0.3379,19.68,0.0,0.8287692126,0.112420677819,-0.615954504808,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89
case_0093,geom_009,train,0.2713,67670000.0,0.4749,14.63,0.0,0.640652821991,0.067307397174,-0.477809738615,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89
case_0094,geom_009,train,14.45,10840000.0,0.1767,-6.995,0.0,-0.287631218915,0.017203740512,0.212024052421,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89
case_0095,geom_009,train,22.83,5239000.0,0.09574,-0.07351,0.0,-0.000816936488,0.004753576417,0.000216839981,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89
case_0096,geom_009,train,27.52,7103000.0,0.2382,2.893,0.0,0.12340802094,0.006891964092,-0.091679141974,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89
case_0097,geom_009,train,5.525,8725000.0,0.07277,-3.793,0.0,-0.154171135079,0.008148207022,0.113396487689,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89
case_0098,geom_009,train,32.19,3354000.0,0.3066,-7.971,0.0,-0.332850009169,0.022247580006,0.245804864677,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89
case_0099,geom_009,train,30.25,2985000.0,0.3799,12.96,0.0,0.556380819747,0.053171749301,-0.414155319642,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89
case_0100,geom_010,train,25.73,12610000.0,0.1305,-9.932,0.0,-0.494533030902,0.030579827332,0.380636450488,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87
case_0101,geom_010,train,1.893,17500000.0,0.3538,9.532,0.0,0.501611334967,0.030716847664,-0.392114849977,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87
case_0102,geom_010,train,11.59,15500000.0,0.1943,-5.936,0.0,-0.296524187901,0.013859852433,0.228493999307,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87
case_0103,geom_010,train,7.732,28910000.0,0.3019,6.729,0.0,0.352503030903,0.017122165587,-0.275372498119,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87
case_0104,geom_010,train,23.23,36030000.0,0.4232,-0.7577,0.0,-0.035196593812,0.004313788103,0.026338678494,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87
case_0105,geom_010,train,16.17,2700000.0,0.09036,14.11,0.0,0.71235199261,0.059243497004,-0.551680569263,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87
case_0106,geom_010,train,15.39,22830000.0,0.1586,11.06,0.0,0.564597045618,0.037741439966,-0.438735558305,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87
case_0107,geom_010,train,31.06,27080000.0,0.4607,3.969,0.0,0.217818237441,0.009175290508,-0.171700661256,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87
case_0110,geom_011,train,12.72,15160000.0,0.1905,10.99,0.0,0.41596627823,0.037591032531,-0.260947582544,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73
case_0111,geom_011,train,33.55,2216000.0,0.09084,-7.579,0.0,-0.279926732877,0.020969418072,0.173561866737,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73
case_0112,geom_011,train,11.46,55650000.0,0.4218,-2.473,0.0,-0.093366705207,0.005744517894,0.05753565539,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73
case_0113,geom_011,train,23.8,4173000.0,0.2647,15.98,0.0,0.607774624466,0.076785112097,-0.386237895415,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73
case_0114,geom_011,train,3.664,1943000.0,0.1562,7.61,0.0,0.287251995372,0.02177451179,-0.179153144594,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73
case_0115,geom_011,train,17.77,64060000.0,0.4722,19.56,0.0,0.762590631109,0.117410083765,-0.490579273969,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73
case_0116,geom_011,train,29.58,11110000.0,0.1387,1.707,0.0,0.065540831223,0.005781672998,-0.040747931956,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73
case_0117,geom_011,train,6.842,40110000.0,0.3079,-4.984,0.0,-0.186747124123,0.010828496776,0.115387725974,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73
case_0118,geom_011,train,27.12,20890000.0,0.3638,13.29,0.0,0.511514280924,0.054470013901,-0.322911489337,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73
case_0119,geom_011,train,39.45,7940000.0,0.3858,4.253,0.0,0.165031336998,0.010278706104,-0.102671497297,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73
case_0120,geom_012,train,35.05,7696000.0,0.332,-3.18,0.0,-0.168738505155,0.007915464553,0.190725007582,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71
case_0121,geom_012,train,17.82,15290000.0,0.1484,-7.764,0.0,-0.405823367039,0.019932152345,0.457308865153,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71
case_0122,geom_012,train,12.15,4185000.0,0.2123,-5.445,0.0,-0.285685306548,0.013188322978,0.322396745795,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71
case_0123,geom_012,train,27.75,18300000.0,0.4658,9.845,0.0,0.552706170378,0.032484419369,-0.63343985779,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71
case_0124,geom_012,train,8.528,22240000.0,0.2907,12.86,0.0,0.691434045253,0.048344398828,-0.783625673582,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71
case_0125,geom_012,train,1.174,32780000.0,0.2689,18.93,0.0,0.998952302172,0.096864988058,-1.118541946921,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71
case_0126,geom_012,train,5.535,66350000.0,0.3986,2.343,0.0,0.13260092959,0.005671085106,-0.152999095863,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71
case_0127,geom_012,train,39.83,6787000.0,0.1086,16.13,0.0,0.844414182568,0.071010548878,-0.948061985559,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71
case_0128,geom_012,train,29.61,4837000.0,0.08405,5.04,0.0,0.269216947774,0.012158935919,-0.306544255419,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71
case_0129,geom_012,train,21.67,4386000.0,0.4334,-0.4441,0.0,-0.020996272971,0.005760840062,0.022573282464,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71
case_0130,geom_013,train,4.695,48490000.0,0.4526,6.561,0.0,0.381986598563,0.018931626523,-0.298319172246,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64
case_0131,geom_013,train,1.037,12920000.0,0.3614,3.543,0.0,0.204485063822,0.009330626069,-0.159811454477,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64
case_0132,geom_013,train,28.38,17160000.0,0.2677,-2.494,0.0,-0.133199344888,0.006839161087,0.10182873136,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64
case_0133,geom_013,train,10.51,838300.0,0.06215,12.57,0.0,0.685105081378,0.05500898687,-0.529244934725,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64
case_0134,geom_013,train,18.79,9010000.0,0.1527,9.914,0.0,0.545797080058,0.035419679008,-0.42242338561,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64
case_0135,geom_013,train,24.31,8498000.0,0.295,15.93,0.0,0.8807516244,0.084520758917,-0.680333631379,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64
case_0136,geom_013,train,12.46,20800000.0,0.3671,-9.736,0.0,-0.538597350899,0.034326222945,0.414401346039,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64
case_0137,geom_013,train,22.4,12470000.0,0.1312,0.05299,0.0,0.007674496135,0.005228840144,-0.007063186257,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64
case_0138,geom_013,train,32.08,15150000.0,0.2062,19.17,0.0,1.040877189545,0.116755561868,-0.800034055821,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64
case_0139,geom_013,train,39.72,29440000.0,0.4985,-6.02,0.0,-0.343848343023,0.016599077831,0.266027925108,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64
case_0140,geom_014,train,2.194,84550000.0,0.4634,5.416,0.0,0.294376514843,0.010796687752,-0.316213100827,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2
case_0141,geom_014,train,11.17,15580000.0,0.1975,18.97,0.0,0.935112332953,0.081576458727,-0.972864280729,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2
case_0142,geom_014,train,32.68,17750000.0,0.2599,-5.657,0.0,-0.275360675429,0.010866724654,0.288375131037,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2
case_0143,geom_014,train,14.12,56120000.0,0.3972,-7.668,0.0,-0.385446074034,0.016648895444,0.405028056317,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2
case_0144,geom_014,train,29.78,4403000.0,0.1537,4.642,0.0,0.239415521953,0.009845537301,-0.255608115248,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2
case_0145,geom_014,train,16.69,7830000.0,0.3042,1.747,0.0,0.097399521871,0.005402007532,-0.10572071213,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2
case_0146,geom_014,train,26.63,1748000.0,0.05358,-2.753,0.0,-0.127579033746,0.007115825575,0.132486724249,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2
